Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2912913,2195424,0.932,ALTO
2912914,2195424,0.932,ALTO
2912915,2195424,0.932,ALTO
2912916,2195424,0.932,ALTO
2912917,2195424,0.932,ALTO
2912918,2195424,0.932,ALTO
2910705,2235858,0.2736,BAJO
2910785,2244538,0.2817,BAJO
2910936,22502758,0.3048,MEDIO
2911282,2196274,0.1938,BAJO
2911283,2196274,0.1938,BAJO
2911284,2196274,0.1938,BAJO
2911285,2196274,0.1938,BAJO
2911524,2157646,0.5695,MEDIO
2911525,2157646,0.5653,MEDIO
2911556,2195123,0.3816,MEDIO
2911557,2195123,0.3619,MEDIO
2919795,2250041,0.2974,BAJO
2919796,2250041,0.2974,BAJO
2919797,2250041,0.2974,BAJO
2919798,2250041,0.2974,BAJO
2919799,2250041,0.2974,BAJO
2919801,2250041,0.2974,BAJO
2919802,2250041,0.2974,BAJO
2919803,2250041,0.2974,BAJO
2919804,2250041,0.2974,BAJO
2919805,2250041,0.2974,BAJO
2919807,2250041,0.2974,BAJO
2919808,2250041,0.2974,BAJO
2919809,2250041,0.2974,BAJO
2919810,2250041,0.2974,BAJO
2919811,2250041,0.2974,BAJO
2912822,2243649,0.333,MEDIO
2912823,2243649,0.333,MEDIO
2912824,2243649,0.333,MEDIO
2912825,2243649,0.333,MEDIO
2912826,2243649,0.333,MEDIO
2912827,2243649,0.333,MEDIO
2912828,2243649,0.333,MEDIO
2912829,2243649,0.333,MEDIO
2912830,2243649,0.333,MEDIO
2912834,2243649,0.2913,BAJO
2912835,2243649,0.2913,BAJO
2912836,2243649,0.2913,BAJO
2912837,2243649,0.2913,BAJO
2912838,2243649,0.2913,BAJO
2912839,2243649,0.2913,BAJO
2912840,2243649,0.2913,BAJO
2912841,2243649,0.2913,BAJO
2912842,2243649,0.2913,BAJO
2912568,2191154,0.9325,ALTO
2912569,2191154,0.9325,ALTO
2912570,2191154,0.9325,ALTO
2912571,2191154,0.9325,ALTO
2912572,2191154,0.9325,ALTO
2912573,2191154,0.9325,ALTO
2912574,2191154,0.9325,ALTO
2912575,2191154,0.9325,ALTO
2912576,2191154,0.9325,ALTO
2912628,2191154,0.8747,ALTO
2912629,2191154,0.8747,ALTO
2912630,2191154,0.8747,ALTO
2912631,2191154,0.8747,ALTO
2912632,2191154,0.8747,ALTO
2912633,2191154,0.8747,ALTO
2912634,2191154,0.8747,ALTO
2912635,2191154,0.8747,ALTO
2912636,2191154,0.8747,ALTO
2917307,2185429,0.8025,ALTO
2917308,2185429,0.8906,ALTO
2917309,2185429,0.8906,ALTO
2917310,2185429,0.8906,ALTO
2917311,2185429,0.8906,ALTO
2917312,2185429,0.8906,ALTO
2917313,2185429,0.8906,ALTO
2917369,2185429,0.8871,ALTO
2917370,2185429,0.8963,ALTO
2917371,2185429,0.8963,ALTO
2917372,2185429,0.8965,ALTO
2917373,2185429,0.8916,ALTO
2917374,2185429,0.8916,ALTO
2917375,2185429,0.8916,ALTO
2911992,2245638,0.1635,BAJO
2911993,2245638,0.1635,BAJO
2911994,2245638,0.1635,BAJO
2911995,2245638,0.1635,BAJO
2912023,2200717,0.3145,MEDIO
2912024,2200717,0.3145,MEDIO
2912025,2200717,0.3145,MEDIO
2912779,22502877,0.2686,BAJO
2912780,22502877,0.2686,BAJO
2912781,22502877,0.2686,BAJO
2912782,22502877,0.2686,BAJO
2912783,22502877,0.2686,BAJO
2912773,22502877,0.2686,BAJO
2912774,22502877,0.2686,BAJO
2912775,22502877,0.2686,BAJO
2912776,22502877,0.2686,BAJO
2912777,22502877,0.2686,BAJO
2912767,22502877,0.2686,BAJO
2912768,22502877,0.2686,BAJO
2912769,22502877,0.2686,BAJO
2912770,22502877,0.2686,BAJO
2912771,22502877,0.2686,BAJO
2912101,2206666,0.8604,ALTO
2913341,2243885,0.3291,MEDIO
2913342,2243885,0.3291,MEDIO
2913343,2243885,0.3291,MEDIO
2913344,2243885,0.3291,MEDIO
2913345,2243885,0.3291,MEDIO
2913346,2243885,0.3291,MEDIO
2913347,2243885,0.3291,MEDIO
2913348,2243885,0.3291,MEDIO
2913349,2243885,0.3291,MEDIO
2913367,2243885,0.2715,BAJO
2913368,2243885,0.2715,BAJO
2913369,2243885,0.2715,BAJO
2913370,2243885,0.2715,BAJO
2913371,2243885,0.2715,BAJO
2913372,2243885,0.2715,BAJO
2913373,2243885,0.2715,BAJO
2913374,2243885,0.2715,BAJO
2913375,2243885,0.2715,BAJO
2918323,22501900,0.3179,MEDIO
2918324,22501900,0.3179,MEDIO
2913274,2195983,0.183,BAJO
2913275,2195983,0.183,BAJO
2913046,22502915,0.2696,BAJO
2913047,22502915,0.2696,BAJO
2913048,22502915,0.2696,BAJO
2913049,22502915,0.2696,BAJO
2913050,22502915,0.2696,BAJO
2913052,22502915,0.2696,BAJO
2913053,22502915,0.2696,BAJO
2913054,22502915,0.2696,BAJO
2913055,22502915,0.2696,BAJO
2913056,22502915,0.2696,BAJO
2913058,22502915,0.2707,BAJO
2913059,22502915,0.2707,BAJO
2913060,22502915,0.2707,BAJO
